               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.064993,              0.0133,            0.014855,             0.49025,             0.96667,             0.64998,             0.39382,            0.050633,           0.0086327,           0.0064599,            0.009307,            0.009307,            0.009307
                  37,            0.059772,            0.014113,            0.014848,             0.49518,             0.97264,             0.72186,              0.4497,            0.041172,           0.0086176,           0.0059293,           0.0092872,           0.0092872,           0.0092872
                  38,            0.062198,            0.013254,            0.013886,             0.42685,             0.96667,             0.67931,             0.40501,            0.044178,           0.0083079,            0.005623,           0.0092674,           0.0092674,           0.0092674
                  39,            0.066098,            0.011992,            0.013025,             0.36993,             0.93901,             0.50971,             0.16428,            0.051614,           0.0076035,           0.0053291,           0.0092476,           0.0092476,           0.0092476
                  40,             0.06914,            0.013199,            0.011204,             0.36993,             0.93901,             0.50971,             0.16428,            0.051614,           0.0076035,           0.0053291,           0.0092278,           0.0092278,           0.0092278
                  41,            0.060913,            0.012089,            0.011348,             0.60567,             0.86667,             0.79387,             0.37278,            0.040499,           0.0077063,           0.0052716,            0.009208,            0.009208,            0.009208
                  42,            0.061685,            0.014787,            0.011199,             0.54753,             0.84286,             0.71053,             0.33393,            0.051076,           0.0077289,            0.005105,           0.0091882,           0.0091882,           0.0091882
                  43,            0.071014,             0.01353,            0.011814,             0.40527,             0.97619,             0.51439,             0.21501,            0.044555,           0.0074072,           0.0054259,           0.0091684,           0.0091684,           0.0091684
                  44,            0.057465,             0.01343,            0.013673,             0.40527,             0.97619,             0.51439,             0.21501,            0.044555,           0.0074072,           0.0054259,           0.0091486,           0.0091486,           0.0091486
                  45,            0.058312,            0.014403,             0.01244,             0.63986,             0.88571,             0.81603,             0.37805,            0.037181,           0.0072982,           0.0053218,           0.0091288,           0.0091288,           0.0091288
                  46,            0.054773,            0.012405,            0.015067,             0.64212,             0.93192,             0.65158,             0.26528,            0.036002,           0.0072995,            0.005389,            0.009109,            0.009109,            0.009109
                  47,            0.059286,            0.013925,           0.0094253,             0.47633,             0.80952,             0.69559,             0.24388,             0.04504,           0.0070377,           0.0046133,           0.0090892,           0.0090892,           0.0090892
                  48,            0.060024,            0.014845,            0.013028,             0.47633,             0.80952,             0.69559,             0.24388,             0.04504,           0.0070377,           0.0046133,           0.0090694,           0.0090694,           0.0090694
                  49,            0.058588,            0.013793,            0.010658,             0.35225,             0.87143,             0.72047,             0.30791,            0.047618,           0.0069771,           0.0044946,           0.0090496,           0.0090496,           0.0090496
                  50,            0.062602,            0.010538,            0.012582,             0.74444,             0.66667,             0.81697,             0.41344,            0.042436,           0.0068524,           0.0043605,           0.0090298,           0.0090298,           0.0090298
                  51,            0.061408,            0.014994,            0.010427,             0.53367,             0.82988,             0.91759,             0.42811,            0.045277,           0.0069072,           0.0042338,             0.00901,             0.00901,             0.00901
                  52,            0.058268,            0.013281,             0.01375,             0.53367,             0.82988,             0.91759,             0.42811,            0.045277,           0.0069072,           0.0042338,           0.0089902,           0.0089902,           0.0089902
                  53,            0.045363,            0.011596,            0.011873,             0.81621,             0.93358,               0.995,             0.52316,            0.041114,            0.006788,           0.0042771,           0.0089704,           0.0089704,           0.0089704
                  54,            0.052353,            0.013208,            0.011366,             0.33868,             0.89755,             0.39357,             0.20681,            0.041296,            0.006698,           0.0044361,           0.0089506,           0.0089506,           0.0089506
                  55,            0.052748,            0.012526,            0.014698,             0.75284,             0.79338,             0.90213,             0.44831,            0.034288,           0.0065691,            0.004517,           0.0089308,           0.0089308,           0.0089308
                  56,            0.050538,            0.015108,            0.009209,             0.75284,             0.79338,             0.90213,             0.44831,            0.034288,           0.0065691,            0.004517,            0.008911,            0.008911,            0.008911
                  57,            0.051525,             0.01336,            0.012066,             0.55602,             0.88308,             0.82897,             0.47351,             0.02786,           0.0065998,           0.0045299,           0.0088912,           0.0088912,           0.0088912
                  58,            0.046583,            0.010827,           0.0098093,              0.8608,             0.88571,             0.95408,              0.4642,            0.037234,           0.0064499,           0.0042986,           0.0088714,           0.0088714,           0.0088714
                  59,            0.051293,            0.013869,           0.0092074,             0.49981,             0.87143,             0.70179,             0.29154,            0.031963,           0.0068119,           0.0046758,           0.0088516,           0.0088516,           0.0088516
                  60,            0.050456,            0.011014,           0.0085826,             0.49981,             0.87143,             0.70179,             0.29154,            0.031963,           0.0068119,           0.0046758,           0.0088318,           0.0088318,           0.0088318
                  61,             0.04495,            0.012664,           0.0086096,             0.72697,             0.88213,             0.90003,              0.6084,            0.024361,           0.0064284,           0.0051847,            0.008812,            0.008812,            0.008812
                  62,            0.050166,            0.011674,           0.0078391,             0.31389,             0.81728,             0.36152,             0.15155,            0.048412,           0.0066615,           0.0047248,           0.0087922,           0.0087922,           0.0087922
                  63,            0.059898,             0.01199,            0.011095,              0.6666,              0.8584,             0.83131,             0.38739,            0.035107,           0.0070949,           0.0044905,           0.0087724,           0.0087724,           0.0087724
                  64,            0.052252,             0.01068,           0.0083208,              0.6666,              0.8584,             0.83131,             0.38739,            0.035107,           0.0070949,           0.0044905,           0.0087526,           0.0087526,           0.0087526
                  65,            0.052318,            0.012897,           0.0084465,             0.97215,             0.94593,              0.9918,             0.62382,            0.027565,           0.0070897,           0.0039981,           0.0087328,           0.0087328,           0.0087328
                  66,            0.049655,            0.011261,           0.0072571,             0.35602,             0.94614,             0.41366,             0.20783,            0.040895,           0.0074169,           0.0034705,            0.008713,            0.008713,            0.008713
                  67,            0.050569,             0.01074,           0.0089529,              0.7258,             0.84286,             0.75326,             0.36782,             0.03563,           0.0067188,           0.0033053,           0.0086932,           0.0086932,           0.0086932
                  68,            0.044724,            0.013642,           0.0084106,              0.7258,             0.84286,             0.75326,             0.36782,             0.03563,           0.0067188,           0.0033053,           0.0086734,           0.0086734,           0.0086734
                  69,            0.043683,           0.0099959,             0.00919,             0.98689,                   1,               0.995,             0.58344,             0.02583,           0.0064424,           0.0034092,           0.0086536,           0.0086536,           0.0086536
                  70,            0.041279,               0.011,            0.016443,             0.42315,             0.92895,              0.6474,             0.44506,            0.034218,           0.0065873,           0.0033864,           0.0086338,           0.0086338,           0.0086338
                  71,            0.046187,            0.009522,            0.010505,             0.68796,             0.94926,             0.82946,             0.46935,            0.025872,           0.0063901,           0.0036545,            0.008614,            0.008614,            0.008614
                  72,            0.041949,            0.012337,            0.010185,             0.68796,             0.94926,             0.82946,             0.46935,            0.025872,           0.0063901,           0.0036545,           0.0085942,           0.0085942,           0.0085942
                  73,            0.039253,            0.010177,           0.0091372,             0.73648,                   1,             0.91567,             0.45699,            0.028073,           0.0062147,           0.0035374,           0.0085744,           0.0085744,           0.0085744
                  74,            0.045913,             0.01247,           0.0088195,             0.47844,             0.87619,              0.6624,             0.28694,            0.036481,            0.006854,           0.0033346,           0.0085546,           0.0085546,           0.0085546
                  75,            0.054558,            0.010335,           0.0074013,             0.97501,             0.91621,               0.995,             0.44454,            0.034244,           0.0063367,            0.003347,           0.0085348,           0.0085348,           0.0085348
                  76,            0.041923,            0.011225,           0.0065941,             0.97501,             0.91621,               0.995,             0.44454,            0.034244,           0.0063367,            0.003347,            0.008515,            0.008515,            0.008515
                  77,            0.043403,           0.0094998,           0.0089302,             0.94057,             0.95979,             0.98875,             0.67536,            0.025802,           0.0061938,           0.0033525,           0.0084952,           0.0084952,           0.0084952
                  78,            0.044749,            0.013606,           0.0092438,              0.7352,             0.93333,             0.80934,             0.29179,            0.037624,           0.0065414,            0.003284,           0.0084754,           0.0084754,           0.0084754
                  79,            0.058568,            0.014427,           0.0077686,             0.74054,             0.93457,             0.99409,             0.67866,            0.022998,           0.0059264,           0.0034613,           0.0084556,           0.0084556,           0.0084556
                  80,            0.043477,            0.011964,           0.0092984,             0.74054,             0.93457,             0.99409,             0.67866,            0.022998,           0.0059264,           0.0034613,           0.0084358,           0.0084358,           0.0084358
                  81,            0.036198,            0.010537,           0.0068383,             0.96065,             0.98544,               0.995,             0.61001,             0.02104,           0.0057957,           0.0034745,            0.008416,            0.008416,            0.008416
                  82,            0.038095,             0.01024,           0.0057317,              0.7323,                   1,             0.99115,             0.55044,            0.027388,           0.0059747,           0.0034036,           0.0083962,           0.0083962,           0.0083962
                  83,            0.046234,            0.011445,           0.0070665,              0.8372,             0.96667,             0.96843,             0.48982,            0.027083,           0.0057984,           0.0034795,           0.0083764,           0.0083764,           0.0083764
                  84,            0.046663,            0.010561,           0.0090216,              0.8372,             0.96667,             0.96843,             0.48982,            0.027083,           0.0057984,           0.0034795,           0.0083566,           0.0083566,           0.0083566
                  85,             0.04495,            0.010032,           0.0096155,             0.54261,                   1,             0.91451,             0.52007,            0.024054,           0.0056229,           0.0035645,           0.0083368,           0.0083368,           0.0083368
                  86,            0.045148,            0.012255,           0.0081379,             0.71002,                   1,             0.85914,             0.48527,            0.028691,           0.0057246,           0.0034492,            0.008317,            0.008317,            0.008317
                  87,            0.050068,             0.01205,           0.0063494,             0.65693,                   1,             0.96347,             0.54679,            0.025114,           0.0059999,           0.0035694,           0.0082972,           0.0082972,           0.0082972
                  88,             0.04622,            0.010825,           0.0065842,             0.65693,                   1,             0.96347,             0.54679,            0.025114,           0.0059999,           0.0035694,           0.0082774,           0.0082774,           0.0082774
                  89,            0.035933,           0.0093515,           0.0055344,             0.91922,                   1,             0.99409,             0.73549,            0.017835,           0.0057461,           0.0036352,           0.0082576,           0.0082576,           0.0082576
                  90,            0.039595,            0.010937,           0.0063876,             0.50233,             0.99273,              0.8928,             0.34059,            0.028548,           0.0060872,            0.003676,           0.0082378,           0.0082378,           0.0082378
                  91,            0.046053,            0.013729,           0.0068691,             0.68322,             0.90289,             0.86391,             0.49229,            0.024743,           0.0059702,           0.0036298,            0.008218,            0.008218,            0.008218
                  92,            0.048007,            0.013456,           0.0057275,             0.68322,             0.90289,             0.86391,             0.49229,            0.024743,           0.0059702,           0.0036298,           0.0081982,           0.0081982,           0.0081982
                  93,            0.044471,            0.010958,            0.010143,              0.8226,                   1,             0.97008,             0.58127,            0.020418,           0.0056289,           0.0036652,           0.0081784,           0.0081784,           0.0081784
                  94,            0.040905,            0.011179,           0.0068786,             0.81986,                   1,             0.94363,             0.50894,            0.024504,           0.0055925,           0.0038053,           0.0081586,           0.0081586,           0.0081586
                  95,            0.039241,            0.011427,           0.0058492,               0.486,                   1,             0.73362,             0.32712,            0.030511,           0.0056504,            0.004108,           0.0081388,           0.0081388,           0.0081388
                  96,            0.048307,            0.011868,           0.0071556,               0.486,                   1,             0.73362,             0.32712,            0.030511,           0.0056504,            0.004108,            0.008119,            0.008119,            0.008119
                  97,            0.042377,           0.0086748,           0.0075001,             0.51454,             0.99065,             0.78144,             0.57321,            0.024425,             0.00523,           0.0040392,           0.0080992,           0.0080992,           0.0080992
                  98,            0.042145,           0.0091038,           0.0082685,             0.43839,             0.94431,             0.75218,              0.3579,             0.02776,           0.0050318,           0.0041042,           0.0080794,           0.0080794,           0.0080794
                  99,            0.044757,            0.011913,           0.0081464,             0.45852,                   1,             0.82695,             0.39688,            0.033763,            0.005523,           0.0037605,           0.0080596,           0.0080596,           0.0080596
                 100,            0.044683,            0.012156,           0.0087421,             0.45852,                   1,             0.82695,             0.39688,            0.033763,            0.005523,           0.0037605,           0.0080398,           0.0080398,           0.0080398
                 101,            0.039261,            0.009641,           0.0065276,             0.65508,                   1,             0.98781,             0.51967,            0.028504,           0.0056333,             0.00346,             0.00802,             0.00802,             0.00802
                 102,            0.039614,            0.010159,           0.0083398,             0.96078,                   1,               0.995,              0.7403,             0.02017,           0.0052947,           0.0034709,           0.0080002,           0.0080002,           0.0080002
                 103,            0.035277,           0.0099117,             0.00584,             0.50603,                   1,             0.81606,             0.41686,            0.024164,           0.0054949,           0.0035438,           0.0079804,           0.0079804,           0.0079804
                 104,            0.046155,            0.010388,           0.0082718,             0.50603,                   1,             0.81606,             0.41686,            0.024164,           0.0054949,           0.0035438,           0.0079606,           0.0079606,           0.0079606
                 105,            0.037462,            0.010048,           0.0051786,             0.78313,                   1,             0.83375,             0.53212,            0.019403,           0.0051402,           0.0035639,           0.0079408,           0.0079408,           0.0079408
                 106,            0.034248,            0.010568,            0.006075,              0.9658,             0.92815,               0.995,             0.69361,            0.022436,           0.0053589,           0.0035356,            0.007921,            0.007921,            0.007921
                 107,            0.037295,           0.0084785,           0.0062845,             0.77013,                   1,             0.96127,             0.58546,             0.02424,           0.0054822,           0.0036003,           0.0079012,           0.0079012,           0.0079012
                 108,            0.036741,           0.0092221,            0.007593,             0.77013,                   1,             0.96127,             0.58546,             0.02424,           0.0054822,           0.0036003,           0.0078814,           0.0078814,           0.0078814
                 109,            0.033308,             0.01082,           0.0064493,             0.79977,                   1,             0.90318,             0.63957,            0.019298,            0.005367,           0.0036833,           0.0078616,           0.0078616,           0.0078616
                 110,            0.033923,             0.01078,           0.0069219,             0.86944,                   1,               0.995,             0.61304,            0.023906,           0.0056471,           0.0034447,           0.0078418,           0.0078418,           0.0078418
                 111,            0.041449,           0.0092385,             0.00969,             0.52046,                   1,             0.84349,             0.42598,            0.026377,           0.0053538,           0.0034916,            0.007822,            0.007822,            0.007822
                 112,            0.034614,            0.011273,            0.011079,             0.52046,                   1,             0.84349,             0.42598,            0.026377,           0.0053538,           0.0034916,           0.0078022,           0.0078022,           0.0078022
                 113,            0.032143,            0.010052,           0.0064786,             0.76008,                   1,             0.95164,             0.54834,            0.022032,            0.005023,            0.003575,           0.0077824,           0.0077824,           0.0077824
                 114,            0.035192,           0.0084777,           0.0062627,              0.7025,                   1,             0.98938,             0.54095,            0.026084,           0.0052836,           0.0034948,           0.0077626,           0.0077626,           0.0077626
                 115,            0.044306,           0.0097231,           0.0068894,             0.79256,                   1,             0.95835,             0.53275,            0.020853,           0.0049296,           0.0035332,           0.0077428,           0.0077428,           0.0077428
                 116,            0.036252,            0.009317,           0.0048222,             0.79256,                   1,             0.95835,             0.53275,            0.020853,           0.0049296,           0.0035332,            0.007723,            0.007723,            0.007723
                 117,            0.030067,           0.0091994,           0.0056935,             0.92807,                   1,             0.99108,             0.54018,            0.020292,           0.0047633,           0.0035089,           0.0077032,           0.0077032,           0.0077032
                 118,            0.034189,           0.0095992,           0.0078315,             0.95892,                   1,             0.99068,              0.6232,            0.025385,           0.0051772,           0.0035324,           0.0076834,           0.0076834,           0.0076834
                 119,            0.039432,           0.0090698,           0.0052651,             0.95627,                   1,             0.99295,             0.48522,            0.025254,           0.0049982,           0.0034715,           0.0076636,           0.0076636,           0.0076636
                 120,            0.037731,            0.010529,           0.0053177,             0.95627,                   1,             0.99295,             0.48522,            0.025254,           0.0049982,           0.0034715,           0.0076438,           0.0076438,           0.0076438
                 121,            0.034246,           0.0095198,           0.0064265,             0.79929,                   1,             0.97814,             0.62745,              0.0206,           0.0048258,           0.0034578,            0.007624,            0.007624,            0.007624
                 122,            0.032676,           0.0090576,           0.0052313,              0.7849,                   1,             0.86961,              0.5591,            0.019006,           0.0051481,           0.0034144,           0.0076042,           0.0076042,           0.0076042
                 123,            0.037741,           0.0086933,            0.010217,             0.97172,                   1,               0.995,             0.67976,            0.016606,           0.0049693,           0.0034897,           0.0075844,           0.0075844,           0.0075844
                 124,            0.032422,            0.010147,           0.0059139,             0.97172,                   1,               0.995,             0.67976,            0.016606,           0.0049693,           0.0034897,           0.0075646,           0.0075646,           0.0075646
                 125,            0.030761,            0.010382,           0.0054362,             0.97208,                   1,               0.995,             0.73292,             0.01775,           0.0050329,            0.003769,           0.0075448,           0.0075448,           0.0075448
                 126,            0.035066,           0.0093821,           0.0050291,             0.83638,             0.95086,             0.96839,             0.45722,            0.025736,           0.0050519,           0.0037765,            0.007525,            0.007525,            0.007525
                 127,               0.041,           0.0088925,           0.0062041,             0.97195,                   1,               0.995,             0.83887,            0.014184,           0.0045873,           0.0035143,           0.0075052,           0.0075052,           0.0075052
                 128,             0.02868,           0.0099201,           0.0081675,             0.97195,                   1,               0.995,             0.83887,            0.014184,           0.0045873,           0.0035143,           0.0074854,           0.0074854,           0.0074854
                 129,            0.029332,           0.0068629,            0.014209,              0.9684,                   1,               0.995,             0.77623,             0.01534,           0.0046653,           0.0032239,           0.0074656,           0.0074656,           0.0074656
                 130,            0.030793,           0.0097535,            0.005901,             0.72224,                   1,             0.85565,             0.60289,             0.01951,           0.0049375,           0.0028716,           0.0074458,           0.0074458,           0.0074458
                 131,            0.034957,           0.0086197,           0.0045602,             0.96938,                   1,               0.995,              0.7205,            0.018832,           0.0050053,            0.002811,            0.007426,            0.007426,            0.007426
                 132,            0.032881,           0.0079011,           0.0055802,             0.96938,                   1,               0.995,              0.7205,            0.018832,           0.0050053,            0.002811,           0.0074062,           0.0074062,           0.0074062
                 133,            0.027193,           0.0090578,           0.0046358,             0.97036,                   1,               0.995,             0.82324,            0.015483,           0.0049529,            0.002774,           0.0073864,           0.0073864,           0.0073864
                 134,            0.029747,           0.0088253,           0.0059878,             0.82804,                   1,               0.995,             0.56256,            0.020108,           0.0052367,           0.0027503,           0.0073666,           0.0073666,           0.0073666
                 135,            0.034581,            0.010247,           0.0079969,             0.87951,                   1,             0.99094,             0.65504,            0.016967,           0.0050992,           0.0027949,           0.0073468,           0.0073468,           0.0073468
                 136,            0.031451,           0.0088701,             0.00461,             0.87951,                   1,             0.99094,             0.65504,            0.016967,           0.0050992,           0.0027949,            0.007327,            0.007327,            0.007327
                 137,            0.028372,           0.0083565,           0.0060287,             0.96804,                   1,               0.995,             0.79214,            0.014277,           0.0047801,           0.0027861,           0.0073072,           0.0073072,           0.0073072
                 138,            0.033418,            0.010243,           0.0043921,             0.51187,                   1,             0.84406,             0.43043,            0.024625,           0.0055655,           0.0027978,           0.0072874,           0.0072874,           0.0072874
                 139,            0.042828,            0.009066,           0.0074984,              0.9675,                   1,               0.995,             0.83127,            0.016914,           0.0051858,           0.0029081,           0.0072676,           0.0072676,           0.0072676
                 140,            0.028425,           0.0081995,             0.01412,              0.9675,                   1,               0.995,             0.83127,            0.016914,           0.0051858,           0.0029081,           0.0072478,           0.0072478,           0.0072478
                 141,            0.026806,            0.010848,           0.0048051,             0.91627,                   1,               0.995,             0.73584,            0.015367,           0.0049221,           0.0030068,            0.007228,            0.007228,            0.007228
                 142,             0.02935,            0.011109,           0.0049994,             0.63219,             0.94175,             0.90794,              0.5372,            0.024324,           0.0049417,           0.0029738,           0.0072082,           0.0072082,           0.0072082
                 143,            0.042072,           0.0078371,           0.0039189,             0.97207,                   1,               0.995,             0.74862,            0.014823,            0.004552,           0.0030765,           0.0071884,           0.0071884,           0.0071884
                 144,            0.029369,            0.010276,           0.0064609,             0.97207,                   1,               0.995,             0.74862,            0.014823,            0.004552,           0.0030765,           0.0071686,           0.0071686,           0.0071686
                 145,            0.026101,            0.010299,           0.0056678,             0.97121,                   1,             0.99409,             0.75711,            0.011668,           0.0043264,           0.0031166,           0.0071488,           0.0071488,           0.0071488
                 146,            0.027101,            0.010565,           0.0042391,             0.83568,                   1,             0.96594,             0.62124,            0.018999,           0.0047633,           0.0031066,            0.007129,            0.007129,            0.007129
                 147,            0.036431,           0.0096268,           0.0048229,             0.97272,                   1,               0.995,             0.63584,            0.019048,           0.0044597,           0.0030631,           0.0071092,           0.0071092,           0.0071092
                 148,            0.033988,           0.0075894,           0.0040694,             0.97272,                   1,               0.995,             0.63584,            0.019048,           0.0044597,           0.0030631,           0.0070894,           0.0070894,           0.0070894
                 149,            0.031183,           0.0081707,           0.0070193,             0.91643,             0.99246,             0.98735,             0.72768,            0.015369,           0.0043935,            0.003039,           0.0070696,           0.0070696,           0.0070696
                 150,            0.030943,            0.008043,           0.0084929,             0.76771,             0.82054,             0.97122,             0.51165,            0.022001,           0.0046549,           0.0030427,           0.0070498,           0.0070498,           0.0070498
                 151,            0.039557,           0.0087258,           0.0047616,             0.76601,                   1,               0.995,             0.74015,             0.01824,           0.0044231,           0.0030646,             0.00703,             0.00703,             0.00703
                 152,             0.03208,           0.0099298,           0.0064244,             0.76601,                   1,               0.995,             0.74015,             0.01824,           0.0044231,           0.0030646,           0.0070102,           0.0070102,           0.0070102
                 153,            0.028932,           0.0077655,           0.0056804,             0.80236,                   1,               0.995,             0.74082,            0.016465,           0.0043897,           0.0031771,           0.0069904,           0.0069904,           0.0069904
                 154,            0.028992,           0.0096594,           0.0077676,              0.9702,                   1,               0.995,             0.82678,            0.013341,           0.0043547,           0.0032136,           0.0069706,           0.0069706,           0.0069706
                 155,            0.029019,           0.0084576,            0.011134,             0.85771,             0.98834,             0.99147,             0.58315,            0.019986,           0.0044917,           0.0032098,           0.0069508,           0.0069508,           0.0069508
                 156,            0.034919,            0.010524,           0.0054475,             0.85771,             0.98834,             0.99147,             0.58315,            0.019986,           0.0044917,           0.0032098,            0.006931,            0.006931,            0.006931
                 157,            0.028275,           0.0078829,           0.0099295,             0.97169,                   1,               0.995,             0.75619,            0.016325,           0.0043501,           0.0031911,           0.0069112,           0.0069112,           0.0069112
                 158,            0.029043,           0.0085439,           0.0061017,             0.85942,             0.93781,               0.995,             0.54036,             0.01937,           0.0044588,           0.0031248,           0.0068914,           0.0068914,           0.0068914
                 159,            0.034187,            0.010504,           0.0065571,             0.97204,                   1,               0.995,             0.56848,            0.021593,           0.0044724,           0.0029847,           0.0068716,           0.0068716,           0.0068716
